,,,corect_length,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,roll_length,len_crop,,,,,hcrop,tcrop,d_cut_width_i,
MC7000000537,90,2600,10887,0,395,1800,3789,94.587,94.589,94.589,0,0,A1,C,M,1,3789,3789,21.148,21.148,21.148,395,1800,3789,3789,3789,21.142,21.148,21.148,3789,21.142,0,0,395,1800,0,0,89.55,2660,11307,420,21.143,1.3,-1.3,L,0,0,0,0
MC7000000538,90,2600,10887,0,395,1800,3789,94.587,94.589,94.589,0,0,A1,C,M,1,3789,3789,21.148,21.148,21.148,395,1800,3789,3789,3789,21.142,21.148,21.148,3789,21.142,0,0,395,1800,0,0,89.55,2660,11307,420,21.143,1.3,-1.3,L,0,0,0,0
MC7000000539,90,2600,10887,0,395,1800,3789,94.587,94.589,94.589,0,0,A1,C,M,1,3789,3789,21.148,21.148,21.148,395,1800,3789,3789,3789,21.142,21.148,21.148,3789,21.142,0,0,395,1800,0,0,89.55,2660,11307,420,21.143,1.3,-1.3,L,0,0,0,0
MC7000000540,90,2600,10887,0,395,1800,3789,94.587,94.589,94.589,0,0,A1,C,M,1,3789,3789,21.148,21.148,21.148,395,1800,3789,3789,3789,21.142,21.148,21.148,3789,21.142,0,0,395,1800,0,0,89.55,2660,11307,420,21.143,1.3,-1.3,L,0,0,0,0
MC7000000541,90,2600,10891,0,395,1800,3790,94.588,94.587,94.587,0,0,A1,C,M,1,3790,3790,21.153,21.153,21.153,395,1800,3790,3790,3790,21.151,21.153,21.153,3790,21.151,0,0,395,1800,0,0,89.55,2660,11311,420,21.15,1.3,-1.3,L,0,0,0,0
MC7000000548,90,2200,10722,0,395,1800,3174,94.094,94.094,94.094,0,0,A1,C,M,1,3174,3174,17.715,17.715,17.715,395,1800,3174,3174,3174,17.711,17.715,17.715,3174,17.711,0,0,395,1800,0,0,89.6,2260,11142,420,17.711,1.1,-1.1,L,0,0,0,0
MC7000000549,90,2200,10722,0,395,1800,3174,94.094,94.094,94.094,0,0,A1,C,M,1,3174,3174,17.715,17.715,17.715,395,1800,3174,3174,3174,17.711,17.715,17.715,3174,17.711,0,0,395,1800,0,0,89.6,2260,11142,420,17.711,1.1,-1.1,L,0,0,0,0
MC7000000577,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,420,19.925,1.1,-1.1,L,0,0,0,0
MC7000000578,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,420,19.925,1.1,-1.1,L,0,0,0,0
MC7000000579,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,420,19.925,1.1,-1.1,L,0,0,0,0
MC7000000580,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,420,19.925,1.1,-1.1,L,0,0,0,0
MC7000000581,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,420,19.925,1.1,-1.1,L,0,0,0,0
MC7000000582,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,420,19.925,1.1,-1.1,L,0,0,0,0
MC7000000583,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,420,19.925,1.1,-1.1,L,0,0,0,0
MC7000000584,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,420,19.925,1.1,-1.1,L,0,0,0,0
