,,,corect_length,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,roll_length,,,,,hcrop,tcrop,d_cut_width_i,
MC7000000537,90,2600,10887,0,395,1800,3789,94.587,94.589,94.589,0,0,A1,C,M,1,3789,3789,21.148,21.148,21.148,395,1800,3789,3789,3789,21.142,21.148,21.148,3789,21.142,0,0,395,1800,0,0,89.55,2660,11307,21.143,1.3,-1.3,L,0,0,0,0
MC7000000538,90,2600,10887,0,395,1800,3789,94.587,94.589,94.589,0,0,A1,C,M,1,3789,3789,21.148,21.148,21.148,395,1800,3789,3789,3789,21.142,21.148,21.148,3789,21.142,0,0,395,1800,0,0,89.55,2660,11307,21.143,1.3,-1.3,L,0,0,0,0
MC7000000539,90,2600,10887,0,395,1800,3789,94.587,94.589,94.589,0,0,A1,C,M,1,3789,3789,21.148,21.148,21.148,395,1800,3789,3789,3789,21.142,21.148,21.148,3789,21.142,0,0,395,1800,0,0,89.55,2660,11307,21.143,1.3,-1.3,L,0,0,0,0
MC7000000540,90,2600,10887,0,395,1800,3789,94.587,94.589,94.589,0,0,A1,C,M,1,3789,3789,21.148,21.148,21.148,395,1800,3789,3789,3789,21.142,21.148,21.148,3789,21.142,0,0,395,1800,0,0,89.55,2660,11307,21.143,1.3,-1.3,L,0,0,0,0
MC7000000541,90,2600,10891,0,395,1800,3790,94.588,94.587,94.587,0,0,A1,C,M,1,3790,3790,21.153,21.153,21.153,395,1800,3790,3790,3790,21.151,21.153,21.153,3790,21.151,0,0,395,1800,0,0,89.55,2660,11311,21.15,1.3,-1.3,L,0,0,0,0
MC7000000542,90,2500,11320,0,395,1800,3798,94.342,94.342,94.342,0,0,A1,C,M,1,3798,3798,21.198,21.198,21.198,395,1800,3798,3798,3798,21.193,21.198,21.198,3798,21.193,0,0,395,1800,0,0,89.6,2560,11770,21.193,1.1,-1.1,L,0,0,0,0
MC7000000548,90,2200,10722,0,395,1800,3174,94.094,94.094,94.094,0,0,A1,C,M,1,3174,3174,17.715,17.715,17.715,395,1800,3174,3174,3174,17.711,17.715,17.715,3174,17.711,0,0,395,1800,0,0,89.6,2260,11142,17.711,1.1,-1.1,L,0,0,0,0
MC7000000549,90,2200,10722,0,395,1800,3174,94.094,94.094,94.094,0,0,A1,C,M,1,3174,3174,17.715,17.715,17.715,395,1800,3174,3174,3174,17.711,17.715,17.715,3174,17.711,0,0,395,1800,0,0,89.6,2260,11142,17.711,1.1,-1.1,L,0,0,0,0
MC7000000550,90,2200,9650,0,395,1800,2854,94.169,94.168,94.168,0,0,A1,C,M,1,2854,2854,15.929,15.929,15.929,395,1800,2854,2854,2854,15.928,15.929,15.929,2854,15.928,0,0,395,1800,0,0,89.6,2260,10020,15.928,1.1,-1.1,L,0,0,0,0
MC7000000551,90,2200,9650,0,395,1800,2854,94.169,94.168,94.168,0,0,A1,C,M,1,2854,2854,15.929,15.929,15.929,395,1800,2854,2854,2854,15.928,15.929,15.929,2854,15.928,0,0,395,1800,0,0,89.6,2260,10020,15.928,1.1,-1.1,L,0,0,0,0
