,roll_thick,roll_width,corect_length,tcrop,hcrop,roll_length,len_crop,,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,,,,d_cut_width_i,
MC8000002583,30,2200,28900,0,0,30000,1100,0,0,395,2000,2554,94.564,94.562,94.562,0,0,A1,C,M,3,2554,2554,15.839,15.839,15.839,395,2000,2554,2554,2554,15.834,15.839,15.839,2554,15.834,0,395,2000,0,0,29.75,2260,15.834,0.8,-0.8,L,0,0
MC8000002647,30,2500,28500,0,0,29600,1100,0,0,395,2000,2854,94.817,94.818,94.818,0,0,A1,C,M,3,2854,2854,17.699,17.699,17.699,395,2000,2854,2854,2854,17.696,17.699,17.699,2854,17.696,0,395,2000,0,0,29.75,2560,17.697,0.8,-0.8,L,0,0
MC8000000341,25,2200,27900,0,0,28900,1000,0,0,247,1800,3636,94.926,94.925,94.925,0,0,A1,C,M,3,3636,3636,12.69,12.69,12.69,247,1800,3636,3636,3636,12.69,12.69,12.69,3636,12.69,0,247,1800,0,0,24.75,2260,12.69,0.75,-0.75,L,0,0
MC8000004052,36,2500,27645,0,0,28645,1000,0,0,395,2000,3319,94.906,94.907,94.907,0,0,A1,C,M,3,3319,3319,20.583,20.583,20.583,395,2000,3319,3319,3319,20.579,20.583,20.583,3319,20.579,0,395,2000,0,0,35.75,2560,20.579,0.8,-0.8,L,0,0
MC8000002004,20,2600,27630,0,0,28630,1000,0,0,395,2000,1919,94.804,92.427,94.805,0,0,A2,J,M,3,1919,1919,11.901,11.901,11.901,395,2000,1919,1919,1919,11.897,11.901,11.901,1919,11.897,0,395,2000,0,0,19.9,2660,11.897,0.75,-0.75,L,0,0
MC8000002001,20,2500,27000,0,0,28000,1000,0,0,395,2000,1792,95.361,95.357,95.357,0,0,A1,J,M,3,1792,1792,11.113,11.113,11.113,395,2000,1792,1792,1792,11.114,11.113,11.113,1792,11.114,0,395,2000,0,0,19.75,2560,11.113,0.75,-0.75,L,0,0
MC8000004064,35,2200,27000,0,0,28000,1000,0,0,395,2000,2784,94.544,94.543,94.543,0,0,A1,C,M,3,2784,2784,17.265,17.265,17.265,395,2000,2784,2784,2784,17.262,17.265,17.265,2784,17.262,0,395,2000,0,0,34.75,2260,17.262,0.8,-0.8,L,0,0
MC8000003355,35,2200,27000,0,0,28000,1000,0,0,395,2000,2784,94.544,94.543,94.543,0,0,A1,C,M,3,2784,2784,17.265,17.265,17.265,395,2000,2784,2784,2784,17.262,17.265,17.265,2784,17.262,0,395,2000,0,0,34.75,2260,17.262,0.8,-0.8,L,0,0
MC8000002891,35,2300,26988,0,0,27988,1000,0,0,395,2000,2906,94.652,94.65,94.65,0,0,A1,C,M,3,2906,2906,18.022,18.022,18.022,395,2000,2906,2906,2906,18.018,18.022,18.022,2906,18.018,0,395,2000,0,0,34.75,2360,18.018,0.8,-0.8,L,0,0
MC8000000413,25,2200,26700,0,0,27700,1000,0,0,247,1800,3485,94.779,94.779,94.779,0,0,A1,C,M,3,3485,3485,12.163,12.163,12.163,247,1800,3485,3485,3485,12.163,12.163,12.163,3485,12.163,0,247,1800,0,0,24.75,2260,12.163,0.75,-0.75,L,0,0
MC8000003848,32,2500,26655,0,0,27655,1000,0,0,395,2000,2846,94.866,94.865,94.865,0,0,A1,T,M,3,2846,2846,17.649,17.649,17.649,395,2000,2846,2846,2846,17.645,17.649,17.649,2846,17.645,0,395,2000,0,0,31.75,2560,17.645,0.8,-0.8,L,0,0
MC8000002511,50,2200,26634,0,0,27634,1000,0,0,395,2000,3929,94.389,94.389,94.389,0,0,A1,C,M,3,3929,3929,24.366,24.366,24.366,395,2000,3929,3929,3929,24.365,24.366,24.366,3929,24.365,0,395,2000,0,0,49.7,2260,24.366,0.9,-0.9,L,0,0
MC8000003360,32,2200,26421,0,0,27421,1000,0,0,395,2000,2491,94.534,94.535,94.535,0,0,A1,C,M,3,2491,2491,15.448,15.448,15.448,395,2000,2491,2491,2491,15.445,15.448,15.448,2491,15.445,0,395,2000,0,0,31.75,2260,15.446,0.8,-0.8,L,0,0
MC8000003359,32,2200,26421,0,0,27421,1000,0,0,395,2000,2491,94.534,94.535,94.535,0,0,A1,C,M,3,2491,2491,15.448,15.448,15.448,395,2000,2491,2491,2491,15.445,15.448,15.448,2491,15.445,0,395,2000,0,0,31.75,2260,15.446,0.8,-0.8,L,0,0
MC8000002253,35,2200,26160,0,0,27160,1000,0,0,395,2000,2701,94.436,94.434,94.434,0,0,A1,C,M,3,2701,2701,16.75,16.75,16.75,395,2000,2701,2701,2701,16.744,16.75,16.75,2701,16.744,0,395,2000,0,0,34.75,2260,16.744,0.8,-0.8,L,0,0
MC8000002252,35,2200,26160,0,0,27160,1000,0,0,395,2000,2701,94.436,94.434,94.434,0,0,A1,C,M,3,2701,2701,16.75,16.75,16.75,395,2000,2701,2701,2701,16.744,16.75,16.75,2701,16.744,0,395,2000,0,0,34.75,2260,16.744,0.8,-0.8,L,0,0
MC8000003070,35,2200,25767,0,0,26717,950,0,0,395,2000,2656,94.559,94.56,94.56,0,0,A1,C,M,3,2656,2656,16.471,16.471,16.471,395,2000,2656,2656,2656,16.471,16.471,16.471,2656,16.471,0,395,2000,0,0,34.75,2260,16.471,0.8,-0.8,L,0,0
MC8000003843,36,2500,25587,0,0,26537,950,0,0,395,2000,3075,94.819,94.818,94.818,0,0,A1,T,M,3,3075,3075,19.07,19.07,19.07,395,2000,3075,3075,3075,19.065,19.07,19.07,3075,19.065,0,395,2000,0,0,35.75,2560,19.065,0.8,-0.8,L,0,0
