   ,roll_thick,roll_width,corect_length,len_crop,MAX(ROLL_AIM_LEN-COMBINE_PLATE
1,30,2200,24900,950,950
2,140,2600,6999,250,250
3,100,2200,9650,370,370
4,100,2200,11135,450,450
5,60,2200,16000,600,600
6,36,2200,16900,650,650
7,40,2200,18788,700,700
8,25,2200,27900,1000,1000
9,30,2200,23200,900,900
10,60,2270,11000,420,420
11,40,2020,20000,700,700
12,65,2200,8671,320,320
13,36,2500,18430,700,700
14,40,2320,11439,450,450
15,45,2200,10700,420,420
16,55,2200,10248,420,420
17,55,2200,10201,420,420
18,70,2500,9172,370,370
19,75,2200,9394,370,370
20,80,2200,8807,320,320
21,70,2120,8300,320,320
22,70,2420,8300,320,320
23,70,2200,10595,420,420
24,85,2200,10395,420,420
25,80,2200,9796,370,370
26,90,2600,10891,420,420
27,90,2200,10722,420,420
28,50,2200,9852,370,370
29,90,2600,10887,420,420
30,40,2500,11309,450,450
31,30,2200,25005,950,950
32,32,3000,11749,450,450
33,90,2500,11518,450,450
34,100,2700,10688,420,420
35,100,2500,11606,450,450
36,85,2500,11500,450,450
37,100,2200,12000,450,450
38,70,2200,9662,370,370
39,125,2200,9018,370,370
40,80,2500,10885,420,420
41,80,2520,9260,370,370
42,50,2030,26250,1000,1000
43,20,2500,27000,1000,1000
44,180,2200,6400,250,250
45,58,3530,7365,400,400
46,70,2870,8360,320,320
47,90,2200,11000,420,420
48,50,2200,22874,850,850
49,70,2600,11413,450,450
51,45,2200,25050,950,950
52,80,2200,11400,450,450
53,75,2600,10800,420,420
54,40,2500,24000,900,900
55,55,2500,12000,450,450
56,40,2500,12000,450,450
57,70,2600,11402,450,450
58,36,2450,20600,800,800
61,70,2200,18000,650,650
62,65,2200,19000,700,700
63,70,2500,11800,450,450
64,70,2200,18788,700,700
65,32,2660,24000,1140,1140
66,50,2200,8000,270,270
67,30,2200,27000,1000,1000
68,200,2200,6500,250,250
70,40,2200,27900,1000,1000
72,40,2200,19800,700,700
73,153,2200,8473,320,320
76,60,2200,22400,850,850
77,70,2200,19000,700,700
78,260,2200,4454,200,200
79,220,2600,4353,200,200
80,120,2600,9240,400,400
82,145,2200,9100,370,370
83,170,2600,5800,230,230
84,55,2600,20400,800,800
85,50,2600,22400,850,850
86,150,2600,6400,250,250
88,130,2600,7600,270,270
89,120,2200,9500,370,370
90,100,2600,9578,370,370
91,65,2600,16800,650,650
92,75,2500,11200,450,450
94,30,2500,12000,450,450
95,200,2500,5700,230,230
96,90,2200,10020,500,500
98,130,2600,9209,400,400
99,25,2200,25200,1120,1120
100,38,2280,21000,800,800
101,70,2200,20130,940,940
102,25,2200,28050,1100,1100
103,30,2200,28290,1100,1100
104,30,2300,22490,1040,1040
105,140,2600,8551,320,320
106,35,2200,22800,1040,1040
107,32,2120,24720,1190,1190
109,100,3160,6450,490,490
111,80,1800,12000,530,530
112,90,2200,10438,500,500
113,89,2200,9499,470,470
115,75,2500,11058,530,530
116,75,2200,11273,530,530
117,36,3150,18560,920,920
119,30,2200,23400,1100,1100
121,140,2200,6800,250,250
122,40,2500,20332,940,940
123,60,3050,12000,750,750
124,32,3000,25848,950,950
130,55,2500,12000,540,540
132,40,2150,23430,1090,1090
133,40,2100,21600,1000,1000
134,40,2200,17800,760,760
139,50,2200,20000,900,900
140,50,2200,20400,940,940
142,125,2200,9174,470,470
143,145,2200,8459,320,320
144,200,2600,5700,230,230
145,310,2200,4545,200,200
146,30,2400,26700,1000,1000
147,80,2400,10788,500,500
148,40,2050,22410,1080,1080
152,50,2600,20524,960,960
153,40,2500,20992,940,940
154,32,2300,28113,1100,1100
155,40,2200,17754,800,800
156,120,2200,9844,470,470
157,90,2200,8350,320,320
158,50,2200,16908,800,800
159,125,2050,9659,470,470
160,105,2200,10494,500,500
161,90,2200,10244,500,500
162,72,2200,19570,900,900
163,130,2000,8200,400,400
164,78,3715,7430,400,400
165,45,2400,24900,1120,1120
166,115,2160,8316,320,320
167,110,2200,11102,530,530
168,55,2600,16700,650,650
169,310,2200,3636,170,170
170,80,2600,9977,450,450
171,120,2200,8220,320,320
172,80,2500,11107,540,540
173,80,2200,11836,540,540
174,80,2200,18400,850,850
175,100,2500,6000,250,250
177,70,2200,20130,960,960
179,55,2200,16600,800,800
180,130,2200,7804,270,270
181,119,2200,9473,470,470
182,65,2600,10525,420,420
183,100,2200,11000,500,500
184,80,2500,11662,530,530
185,130,2500,9000,350,350
186,80,2200,10568,500,500
188,45,2200,27708,1000,1000
189,55,2200,21800,1050,1050
190,260,2200,3613,170,170
191,140,2000,8440,350,350
192,70,2200,20936,960,960
193,70,2200,16600,800,800
194,55,2500,11200,540,540
195,50,2030,20600,960,960
196,40,2200,17800,800,800
197,30,2200,22402,1050,1050
198,60,2721,13372,580,580
201,100,2200,9582,470,470
202,80,2200,17000,800,800
203,100,2500,8400,350,350
204,170,2200,7800,270,270
205,35,2200,16600,800,800
206,35,2000,20612,960,960
207,90,2600,12500,580,580
208,100,3180,6750,490,490
209,60,2530,10680,500,500
210,60,2500,11400,540,540
211,30,2500,23220,1100,1100
212,40,2380,26140,1220,1220
214,70,2200,17894,800,800
215,60,2280,12820,580,580
217,65,2200,22000,1050,1050
218,30,2500,28600,1350,1350
219,110,2200,10980,500,500
220,50,2200,23058,1100,1100
221,130,2200,8671,350,350
222,90,2200,11600,540,540
223,30,2250,28600,1350,1350
224,210,2300,3600,170,170
225,100,2200,11100,540,540
226,130,2500,8900,400,400
227,30,2300,26400,1220,1220
229,60,2200,20130,960,960
230,130,2200,7200,350,350
231,60,2200,18318,900,900
232,50,2030,15340,700,700
233,40,2200,26421,1220,1220
234,60,2200,23312,1100,1100
235,100,2200,8770,400,400
236,90,2600,8868,400,400
237,34,2500,17984,800,800
238,60,2500,20600,960,960
241,32,2140,23100,1100,1100
245,65,2200,11120,540,540
246,110,2200,8200,320,320
247,32,2780,10900,420,420
248,40,2200,18400,700,700
249,40,2200,16400,650,650
250,70,2200,10065,420,420
251,50,2430,10980,420,420
252,50,2430,8710,320,320
253,45,2200,11000,420,420
254,60,2200,11764,450,450
255,50,2200,11448,450,450
256,50,2200,11376,450,450
257,55,2200,11600,450,450
258,80,2200,9200,370,370
259,36,3220,11000,700,700
260,36,2020,20400,800,800
261,70,2120,8000,270,270
262,70,2600,8923,320,320
263,75,2200,9326,370,370
264,55,2200,17546,650,650
265,50,2200,16600,650,650
266,85,2600,11500,450,450
267,120,2200,8300,320,320
268,50,2200,11300,450,450
269,25,2200,20000,700,700
270,290,2200,3850,170,170
271,50,2200,11465,450,450
272,130,3000,7362,270,270
273,100,2500,6000,230,230
274,120,2200,8200,320,320
275,50,2200,19670,700,700
276,90,2700,11400,450,450
277,70,2800,9700,370,370
278,75,2200,11000,420,420
279,120,2700,8485,320,320
280,70,2500,8885,320,320
281,110,2200,10248,420,420
282,130,2200,7371,270,270
283,100,2200,9864,370,370
284,80,3370,6750,400,400
285,80,2200,11273,450,450
286,100,2700,9597,370,370
292,40,2200,22104,850,850
294,120,2200,10800,420,420
295,120,2200,10300,420,420
296,80,3000,9555,370,370
297,50,2110,11000,420,420
298,80,2120,16700,650,650
299,70,2200,17012,650,650
300,48,3490,14700,800,800
301,45,2200,21920,800,800
302,190,2200,6600,250,250
303,60,3600,12000,750,750
304,50,2500,21326,800,800
305,120,2200,8500,320,320
306,80,2500,10450,420,420
307,90,2200,10700,420,420
308,40,2500,22309,850,850
310,80,2600,10000,370,370
311,50,2450,21838,800,800
313,40,2110,9770,370,370
314,100,3160,6450,400,400
315,60,2600,11737,450,450
316,120,2200,10900,420,420
317,50,2200,25401,950,950
321,55,2700,10500,420,420
322,120,2600,7700,270,270
324,55,2200,20246,800,800
326,90,2500,10105,420,420
327,80,2170,13530,600,600
329,100,2500,9786,370,370
330,60,2200,17988,650,650
331,130,2200,8671,320,320
332,270,2600,4000,170,170
334,140,2600,5200,230,230
335,60,2600,17736,650,650
336,190,2200,6900,250,250
337,140,2600,6841,250,250
338,140,2200,8052,320,320
339,150,2200,9000,320,320
340,90,2600,10642,420,420
342,80,2600,10400,420,420
343,80,2200,11300,450,450
344,32,2200,26421,1000,1000
345,75,2200,11500,450,450
347,50,2600,20400,800,800
349,35,2200,26841,1000,1000
350,50,2600,18698,700,700
351,310,2600,3150,170,170
352,70,2500,17770,800,800
353,35,2300,25701,1120,1120
354,75,3370,6750,490,490
355,175,2200,7500,350,350
356,30,2200,25050,1190,1190
357,36,3540,12370,750,750
358,50,2800,20800,960,960
359,50,3450,8810,450,450
360,26,3550,24320,1400,1400
361,50,2500,11500,450,450
363,30,2200,28182,1100,1100
364,60,2200,18174,850,850
365,70,2200,11000,500,500
366,60,2500,11500,530,530
367,80,2000,10000,470,470
368,30,2500,27645,1000,1000
369,100,2200,11273,530,530
370,110,2200,10248,500,500
371,50,2430,10000,470,470
372,210,2200,6250,250,250
373,170,2600,6600,250,250
374,160,2200,8200,400,400
375,190,2200,7416,270,270
376,145,2200,9718,470,470
378,99,2200,8540,320,320
383,60,2530,18670,700,700
384,170,2200,3406,170,170
386,30,2530,26700,1000,1000
388,140,2200,6441,250,250
390,36,2240,24600,1190,1190
392,120,2780,8455,320,320
393,60,2600,18400,700,700
394,150,2500,6700,280,280
397,55,2200,20400,940,940
398,110,2200,11712,530,530
399,80,2200,9394,470,470
400,79,2200,9513,470,470
401,74,2200,9300,470,470
403,87,2200,10798,500,500
405,60,2400,18494,900,900
407,40,2200,22000,1050,1050
408,130,2200,10839,500,500
409,80,2100,12300,580,580
410,78,2200,18066,900,900
411,30,2200,26841,1220,1220
414,60,2500,21004,1050,1050
415,60,2600,20752,960,960
418,290,2200,3887,170,170
420,149,2350,7095,270,270
422,45,2200,18788,900,900
424,95,2200,8899,320,320
426,230,2500,3605,170,170
427,50,2200,22546,1080,1080
428,42,2300,21418,1050,1050
429,55,3000,11279,700,700
430,30,2200,20300,960,960
431,115,2500,10000,470,470
432,130,2200,8250,400,400
433,160,2200,7150,350,350
434,150,2200,7430,350,350
435,50,2570,21312,1000,1000
436,60,2280,17946,800,800
437,120,2480,8358,400,400
438,110,2480,9118,470,470
439,70,2200,11503,530,530
440,25,3200,20000,1050,1050
444,105,2200,9000,350,350
447,100,2200,9050,470,470
448,55,2600,20600,960,960
449,50,2500,23008,1100,1100
450,30,2200,23500,1100,1100
451,70,2200,10300,500,500
452,240,2490,4880,200,200
453,38,2200,21190,1050,1050
454,60,2721,12458,580,580
455,58,2320,19260,920,920
458,40,2470,15877,700,700
459,45,2380,21360,1050,1050
460,80,2320,9020,470,470
461,60,2400,16600,800,800
462,55,2500,20400,960,960
463,260,2200,4769,140,140
466,110,2200,9223,470,470
467,130,3000,7400,270,270
468,140,2600,7150,350,350
469,115,2200,7400,350,350
470,90,2200,10773,500,500
471,50,2550,16860,800,800
472,55,3640,7850,400,400
473,50,1940,24900,1120,1120
474,45,2000,22902,1050,1050
475,45,2500,10200,500,500
476,75,2200,10300,500,500
477,320,2200,4200,200,200
478,120,2200,8300,400,400
479,40,2200,25734,1120,1120
480,55,2200,21960,1050,1050
481,40,2200,23486,1100,1100
482,50,2500,19904,920,920
483,100,2600,8300,400,400
484,36,3650,21920,1200,1200
486,40,2500,11500,540,540
488,85,2200,8900,400,400
489,75,2200,10050,500,500
490,70,2200,10065,500,500
492,25,2500,26400,1220,1220
493,40,2200,20432,960,960
494,25,2200,27810,1280,1280
498,25,2200,27054,1280,1280
499,180,2200,6433,250,250
500,40,2030,12300,500,500
501,50,2500,21000,800,800
502,40,2200,16756,650,650
503,30,2200,25155,950,950
504,60,2120,11381,450,450
505,50,2700,11455,450,450
506,60,2200,11273,450,450
507,50,2500,11058,450,450
508,60,2200,11600,450,450
509,60,2200,10568,420,420
510,65,2800,12000,450,450
512,120,2350,8700,320,320
513,100,2200,11580,450,450
514,120,2200,9650,370,370
515,50,2200,11600,450,450
516,35,2200,20332,800,800
517,35,2500,16600,650,650
518,50,2300,9460,370,370
519,90,2500,11320,450,450
520,45,2400,12500,500,500
521,110,2000,11400,450,450
522,110,2200,10833,420,420
523,80,1990,16560,650,650
524,140,2900,5240,230,230
525,50,2200,22546,850,850
526,100,2200,11273,450,450
528,35,2200,26160,1000,1000
529,180,2600,6200,250,250
530,70,2200,10600,420,420
531,48,3490,14700,1000,1000
533,60,2200,20666,800,800
535,50,2200,18788,700,700
536,45,2200,20876,800,800
537,90,2200,10438,420,420
538,75,2700,8000,270,270
539,150,2200,8600,320,320
540,135,2200,6500,250,250
541,32,2500,26655,1000,1000
542,80,2600,10300,420,420
543,140,2500,7200,270,270
545,130,2200,9972,370,370
546,130,2200,7350,270,270
547,120,2500,8400,320,320
548,55,2200,20248,800,800
549,55,2200,20000,700,700
550,50,2450,15500,600,600
552,35,2000,10000,370,370
554,90,2140,12560,500,500
555,95,2200,11600,450,450
556,60,2200,20400,800,800
559,90,2400,10788,500,500
560,60,2600,16700,650,650
561,70,2200,16600,650,650
562,90,2200,11387,450,450
563,60,2600,11600,450,450
565,120,2600,7615,270,270
566,50,2500,21048,800,800
567,140,2200,8200,320,320
569,80,2200,16600,650,650
570,70,2200,17200,650,650
571,120,2600,8400,320,320
572,100,2600,10500,420,420
573,150,2200,7250,270,270
575,60,2200,18672,700,700
577,120,2600,8200,320,320
578,65,3000,15906,600,600
579,50,2680,18462,700,700
580,30,2200,25050,1120,1120
581,300,2500,4200,200,200
582,70,2500,10300,420,420
583,140,2200,9260,470,470
584,60,2500,20280,940,940
585,230,2200,6126,250,250
586,200,2500,6220,250,250
587,50,2550,15200,700,700
588,55,2200,23500,1100,1100
589,36,3500,22520,1300,1300
590,32,2200,22960,1090,1090
591,30,2430,24600,1190,1190
593,36,3030,25420,1300,1300
594,36,3500,12800,800,800
595,170,2200,6631,280,280
597,80,2760,9160,450,450
598,50,3230,12620,750,750
599,50,3400,12600,750,750
600,130,2500,9569,470,470
601,75,2950,10900,700,700
603,110,2600,10884,420,420
604,105,2200,10736,500,500
608,45,2500,23054,1090,1090
613,26,2610,22212,850,850
614,60,2200,21344,800,800
616,34,2300,22400,850,850
617,40,2500,18572,700,700
618,100,2200,13200,580,580
619,150,2600,7055,270,270
622,80,2500,10300,500,500
623,60,2200,21400,1050,1050
624,60,2200,20400,940,940
626,65,2200,17342,800,800
627,82,2200,11456,530,530
628,140,2200,7549,270,270
629,32,2200,24720,1120,1120
630,45,2200,27834,1000,1000
631,125,2200,8528,320,320
632,320,2200,3914,170,170
633,85,2200,8726,320,320
635,300,2200,4175,200,200
636,75,3000,11029,700,700
637,80,2200,9450,470,470
639,210,2330,5050,250,250
640,70,2600,17102,800,800
641,150,2200,7045,270,270
642,28,2200,27297,1000,1000
643,150,2200,6763,250,250
644,149,2200,6200,250,250
645,145,2200,8100,320,320
646,70,2200,17000,800,800
647,55,2700,20828,960,960
648,200,2200,3000,150,150
649,90,2200,11700,530,530
650,25,2330,22400,1080,1080
652,70,2200,20936,940,940
