虚拟板坯号,第一合同订货厚度,组合板宽度,组合板长度,尾部试材长度,头部试材长度,轧制目标长度,切头尾量,固定板坯长度标记,毛边切边标记,清前坯厚,清前坯宽,清前坯长,基准收得率,命令收得率,轧制收得率,头部切舍量,尾部切舍量,组板方式,加热炉类型,自动人工标记,大板内成品小板总块数,清理前板坯最大长度,清理前板坯最小长度,清理前板坯重量,清理前板坯最大重量,清理前板坯最小重量,进加热炉板坯厚度,进加热炉板坯宽度,进加热炉板坯长度,进加热炉板坯最大长度,进加热炉板坯最小长度,进加热炉板坯重量,进加热炉板坯最大重量,进加热炉板坯最小重量,必要板坯长度,必要板坯重量,固定板坯长度,结晶器厚度,结晶器宽度,板坯清理重量减少率_静态表,板坯清理重量减少率_画面,轧制目标厚度,轧制目标宽度,厚板轧制重量,轧制厚度公差上限,轧制厚度公差下限,轧制方向代码,切缝量,中部试材长度
,roll_thick,roll_width,corect_length,tcrop,hcrop,roll_length,len_crop,,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,,,,d_cut_width_i,
MZ8000008310,330,2580,4810,0,0,4810,0,0,1,1080,2200,2700,97.98,71.44,71.44,0,0,A1,J,M,1,2700,2700,45,45,45,1080,2200,1760,1760,1760,32.811,32.827,32.827,1760,32.811,0,1080,2200,0,0,329.15,2640,32.81,2.4,-2.4,L,0,0
MZ8000008309,350,2100,5740,0,0,5740,0,0,0,1080,2200,2700,97.445,73.596,73.596,0,0,A1,J,M,1,2700,2700,45,45,45,1080,2200,1823,1823,1823,33.986,34.002,34.002,1823,33.986,0,1080,2200,0,0,349.2,2160,33.987,2.2,-2.2,L,0,0
MZ8000008262,650,2000,2550,0,0,2550,0,0,0,972,2168,2525,97.087,73.761,73.761,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1621,1621,1621,26.804,26.815,26.815,1621,26.804,0,972,2168,0,0,650,2060,26.803,5,-3,L,0,0
MZ8000008261,630,2000,2600,0,0,2600,0,0,0,972,2168,2525,97.087,72.894,72.894,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1602,1602,1602,26.489,26.501,26.501,1602,26.489,0,972,2168,0,0,630,2060,26.488,5,-3,L,0,0
MZ8000008260,610,2000,2700,0,0,2700,0,0,0,972,2168,2525,97.087,73.294,73.294,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1611,1611,1611,26.634,26.65,26.65,1611,26.634,0,972,2168,0,0,610,2060,26.634,5,-3,L,0,0
MZ8000008259,590,2000,2800,0,0,2800,0,0,0,972,2168,2525,97.087,73.515,73.515,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1615,1615,1615,26.714,26.716,26.716,1615,26.714,0,972,2168,0,0,590,2060,26.714,5,-3,L,0,0
MZ8000008258,580,2000,2878,0,0,2878,0,0,0,972,2168,2525,97.087,74.283,74.283,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.993,26.997,26.997,1632,26.993,0,972,2168,0,0,580,2060,26.993,5,-3,L,0,0
MZ8000008257,570,2000,2929,0,0,2929,0,0,0,972,2168,2525,97.087,74.297,74.297,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1633,1633,1633,26.998,27.014,27.014,1633,26.998,0,972,2168,0,0,570,2060,26.998,5,-3,L,0,0
MZ8000008256,550,2000,3035,0,0,3035,0,0,0,972,2168,2525,97.087,74.283,74.283,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.993,26.997,26.997,1632,26.993,0,972,2168,0,0,550,2060,26.993,5,-3,L,0,0
MZ8000008255,530,2000,3150,0,0,3150,0,0,0,972,2168,2525,97.087,74.294,74.294,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1633,1633,1633,26.997,27.014,27.014,1633,26.997,0,972,2168,0,0,530,2060,26.997,5,-3,L,0,0
MZ8000008254,520,2000,3210,0,0,3210,0,0,0,972,2168,2525,97.087,74.28,74.28,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.992,26.997,26.997,1632,26.992,0,972,2168,0,0,520,2060,26.993,5,-3,L,0,0
MZ8000008253,510,2000,3273,0,0,3273,0,0,0,972,2168,2525,97.087,74.283,74.283,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.993,26.997,26.997,1632,26.993,0,972,2168,0,0,510,2060,26.993,5,-3,L,0,0
MZ8000008195,600,2000,2500,0,0,2500,0,0,1,972,2168,2525,97.087,66.752,66.752,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1467,1467,1467,24.257,24.268,24.268,1467,24.257,0,972,2168,0,0,600,2060,24.257,5,-3,L,0,0
MZ8000004997,710,1800,2604,0,0,2604,0,0,0,972,2168,2525,96.774,74.048,74.048,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.995,26.997,26.997,1632,26.995,0,972,2168,0,0,710,1860,26.995,5,-3,L,0,0
MZ8000004996,660,2000,2529,0,0,2529,0,0,0,972,2168,2525,97.087,74.277,74.277,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.991,26.997,26.997,1632,26.991,0,972,2168,0,0,660,2060,26.992,5,-3,L,0,0
MZ8000004995,660,2000,2529,0,0,2529,0,0,0,972,2168,2525,97.087,74.277,74.277,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.991,26.997,26.997,1632,26.991,0,972,2168,0,0,660,2060,26.992,5,-3,L,0,0
MZ8000004994,640,2000,2608,0,0,2608,0,0,0,972,2168,2525,97.087,74.277,74.277,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.991,26.997,26.997,1632,26.991,0,972,2168,0,0,640,2060,26.991,5,-3,L,0,0
MZ8000004993,640,2000,2608,0,0,2608,0,0,0,972,2168,2525,97.087,74.277,74.277,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.991,26.997,26.997,1632,26.991,0,972,2168,0,0,640,2060,26.991,5,-3,L,0,0
MZ8000004992,570,2000,2929,0,0,2929,0,0,0,972,2168,2525,97.087,74.297,74.297,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1633,1633,1633,26.998,27.014,27.014,1633,26.998,0,972,2168,0,0,570,2060,26.998,5,-3,L,0,0
MZ8000004991,570,2000,2929,0,0,2929,0,0,0,972,2168,2525,97.087,74.297,74.297,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1633,1633,1633,26.998,27.014,27.014,1633,26.998,0,972,2168,0,0,570,2060,26.998,5,-3,L,0,0
MZ8000004989,520,2000,3210,0,0,3210,0,0,0,972,2168,2525,97.087,74.28,74.28,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.992,26.997,26.997,1632,26.992,0,972,2168,0,0,520,2060,26.993,5,-3,L,0,0
MZ8000004988,510,2000,3273,0,0,3273,0,0,0,972,2168,2525,97.087,74.283,74.283,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.993,26.997,26.997,1632,26.993,0,972,2168,0,0,510,2060,26.993,5,-3,L,0,0
MZ8000004987,490,2200,3105,0,0,3105,0,0,0,972,2168,2525,97.345,74.476,74.476,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.992,26.997,26.997,1632,26.992,0,972,2168,0,0,490,2260,26.992,5,-3,L,0,0
MZ8000004986,490,2200,3105,0,0,3105,0,0,0,972,2168,2525,97.345,74.476,74.476,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.992,26.997,26.997,1632,26.992,0,972,2168,0,0,490,2260,26.992,5,-3,L,0,0
MZ8000004985,480,2200,3170,0,0,3170,0,0,0,972,2168,2525,97.345,74.484,74.484,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.995,26.997,26.997,1632,26.995,0,972,2168,0,0,480,2260,26.995,5,-3,L,0,0
MZ8000004984,410,2200,3711,0,0,3711,0,0,0,972,2168,2525,97.345,74.478,74.478,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.993,26.997,26.997,1632,26.993,0,972,2168,0,0,410,2260,26.993,5,-3,L,0,0
MZ8000004983,410,2200,3711,0,0,3711,0,0,0,972,2168,2525,97.345,74.478,74.478,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.993,26.997,26.997,1632,26.993,0,972,2168,0,0,410,2260,26.993,5,-3,L,0,0
MZ8000004982,400,2200,3804,0,0,3804,0,0,0,972,2168,2525,97.54,74.484,74.484,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1629,1629,1629,26.941,26.947,26.947,1629,26.941,0,972,2168,0,0,399.2,2260,26.941,2.2,-2.2,L,0,0
MZ8000004981,400,2200,3804,0,0,3804,0,0,0,972,2168,2525,97.54,74.484,74.484,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1629,1629,1629,26.941,26.947,26.947,1629,26.941,0,972,2168,0,0,399.2,2260,26.941,2.2,-2.2,L,0,0
MZ8000003032,370,2200,4113,0,0,4113,0,0,0,972,2168,2525,97.556,74.495,74.495,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1629,1629,1629,26.94,26.947,26.947,1629,26.94,0,972,2168,0,0,369.2,2260,26.94,2.2,-2.2,L,0,0
MZ8000003031,400,2200,3804,0,0,3804,0,0,0,972,2168,2525,97.54,74.484,74.484,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1629,1629,1629,26.941,26.947,26.947,1629,26.941,0,972,2168,0,0,399.2,2260,26.941,2.2,-2.2,L,0,0
MZ8000003030,490,2200,3105,0,0,3105,0,0,0,972,2168,2525,97.345,74.476,74.476,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1632,1632,1632,26.992,26.997,26.997,1632,26.992,0,972,2168,0,0,490,2260,26.992,5,-3,L,0,0
MZ8000003029,550,2000,3000,0,0,3000,0,0,0,972,2168,2525,97.087,73.427,73.427,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1613,1613,1613,26.682,26.683,26.683,1613,26.682,0,972,2168,0,0,550,2060,26.682,5,-3,L,0,0
MZ7000000381,300,2200,5000,0,0,5200,200,0,0,972,2168,2525,92.82,73.427,73.427,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1688,1688,1688,27.909,27.923,27.923,1688,27.909,0,972,2168,0,0,299.3,2260,27.611,2,-2,L,0,0
MZ7000000380,300,2200,5000,0,0,5200,200,0,0,972,2168,2525,92.82,73.427,73.427,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1688,1688,1688,27.909,27.923,27.923,1688,27.909,0,972,2168,0,0,299.3,2260,27.611,2,-2,L,0,0
MC8000009180,28,2200,27900,0,0,29180,1280,0,0,395,2000,2317,93.914,93.916,93.916,0,0,A1,T,M,3,2317,2317,14.369,14.369,14.369,395,2000,2317,2317,2317,14.365,14.369,14.369,2317,14.365,0,395,2000,0,0,27.75,2260,14.366,0.8,-0.8,L,0,0
MC8000009179,28,2200,27900,0,0,29180,1280,0,0,395,2000,2317,93.914,93.916,93.916,0,0,A1,T,M,3,2317,2317,14.369,14.369,14.369,395,2000,2317,2317,2317,14.365,14.369,14.369,2317,14.365,0,395,2000,0,0,27.75,2260,14.366,0.8,-0.8,L,0,0
MC8000009178,28,2200,27900,0,0,29180,1280,0,0,395,2000,2317,93.914,93.916,93.916,0,0,A1,T,M,3,2317,2317,14.369,14.369,14.369,395,2000,2317,2317,2317,14.365,14.369,14.369,2317,14.365,0,395,2000,0,0,27.75,2260,14.366,0.8,-0.8,L,0,0
MC8000009177,28,2200,27900,0,0,29180,1280,0,0,395,2000,2317,93.914,93.916,93.916,0,0,A1,T,M,3,2317,2317,14.369,14.369,14.369,395,2000,2317,2317,2317,14.365,14.369,14.369,2317,14.365,0,395,2000,0,0,27.75,2260,14.366,0.8,-0.8,L,0,0
MC8000009176,28,2200,27900,0,0,29180,1280,0,0,395,2000,2317,93.914,93.916,93.916,0,0,A1,T,M,3,2317,2317,14.369,14.369,14.369,395,2000,2317,2317,2317,14.365,14.369,14.369,2317,14.365,0,395,2000,0,0,27.75,2260,14.366,0.8,-0.8,L,0,0
MC8000009175,28,2200,27900,0,0,29180,1280,0,0,395,2000,2317,93.914,93.916,93.916,0,0,A1,T,M,3,2317,2317,14.369,14.369,14.369,395,2000,2317,2317,2317,14.365,14.369,14.369,2317,14.365,0,395,2000,0,0,27.75,2260,14.366,0.8,-0.8,L,0,0
MC8000009174,28,2200,27900,0,0,29180,1280,0,0,395,2000,2317,93.914,93.916,93.916,0,0,A1,T,M,3,2317,2317,14.369,14.369,14.369,395,2000,2317,2317,2317,14.365,14.369,14.369,2317,14.365,0,395,2000,0,0,27.75,2260,14.366,0.8,-0.8,L,0,0
MC8000009172,50,2200,22302,0,0,23382,1080,0,0,395,2000,3325,93.409,93.408,93.408,0,0,A1,T,M,2,3325,3325,20.62,20.62,20.62,395,2000,3325,3325,3325,20.617,20.62,20.62,3325,20.617,0,395,2000,0,0,49.7,2260,20.617,0.9,-0.9,L,0,0
MC8000009171,60,2500,11586,0,0,12126,540,0,0,395,2000,2346,93.776,93.779,93.779,0,0,A1,T,M,1,2346,2346,14.549,14.549,14.549,395,2000,2346,2346,2346,14.548,14.549,14.549,2346,14.548,0,395,2000,0,0,59.7,2560,14.548,0.9,-0.9,L,0,0
MC8000009170,150,2200,7477,0,0,7827,350,0,0,395,2000,3348,93.303,93.304,93.304,0,0,A1,C,M,1,3348,3348,20.763,20.763,20.763,395,2000,3348,3348,3348,20.759,20.763,20.763,3348,20.759,0,395,2000,0,0,149.5,2260,20.759,1.4,-1.4,L,0,0
MC8000009169,150,2200,7477,0,0,7827,350,0,0,395,2000,3348,93.303,93.304,93.304,0,0,A1,C,M,1,3348,3348,20.763,20.763,20.763,395,2000,3348,3348,3348,20.759,20.763,20.763,3348,20.759,0,395,2000,0,0,149.5,2260,20.759,1.4,-1.4,L,0,0
MC8000009168,150,2200,7477,0,0,7827,350,0,0,395,2000,3348,93.303,93.304,93.304,0,0,A1,C,M,1,3348,3348,20.763,20.763,20.763,395,2000,3348,3348,3348,20.759,20.763,20.763,3348,20.759,0,395,2000,0,0,149.5,2260,20.759,1.4,-1.4,L,0,0
MC8000009167,150,2200,7477,0,0,7827,350,0,0,395,2000,3348,93.303,93.304,93.304,0,0,A1,C,M,1,3348,3348,20.763,20.763,20.763,395,2000,3348,3348,3348,20.759,20.763,20.763,3348,20.759,0,395,2000,0,0,149.5,2260,20.759,1.4,-1.4,L,0,0
MC8000009166,100,2500,9176,0,0,9646,470,0,0,395,2000,3114,93.271,93.272,93.272,0,0,A1,C,M,1,3114,3114,19.311,19.311,19.311,395,2000,3114,3114,3114,19.307,19.311,19.311,3114,19.307,0,395,2000,0,0,99.6,2560,19.307,1.1,-1.1,L,0,0
MC8000009165,80,2200,9500,0,0,9970,470,0,0,395,2000,2271,93.222,93.224,93.224,0,0,A1,J,M,1,2271,2271,14.084,14.084,14.084,395,2000,2271,2271,2271,14.079,14.084,14.084,2271,14.079,0,395,2000,0,0,79.6,2260,14.079,1.1,-1.1,L,0,0
MC8000009164,80,2200,9500,0,0,9970,470,0,0,395,2000,2271,93.222,93.224,93.224,0,0,A1,J,M,1,2271,2271,14.084,14.084,14.084,395,2000,2271,2271,2271,14.079,14.084,14.084,2271,14.079,0,395,2000,0,0,79.6,2260,14.079,1.1,-1.1,L,0,0
MC8000009163,80,2200,9500,0,0,9970,470,0,0,395,2000,2271,93.222,93.224,93.224,0,0,A1,J,M,1,2271,2271,14.084,14.084,14.084,395,2000,2271,2271,2271,14.079,14.084,14.084,2271,14.079,0,395,2000,0,0,79.6,2260,14.079,1.1,-1.1,L,0,0
MC8000009162,80,2200,9500,0,0,9970,470,0,0,395,2000,2271,93.222,93.224,93.224,0,0,A1,J,M,1,2271,2271,14.084,14.084,14.084,395,2000,2271,2271,2271,14.079,14.084,14.084,2271,14.079,0,395,2000,0,0,79.6,2260,14.079,1.1,-1.1,L,0,0
MC8000009161,36,2300,20100,0,0,21060,960,0,0,395,2000,2250,93.666,93.669,93.669,0,0,A1,J,M,2,2250,2250,13.953,13.953,13.953,395,2000,2250,2250,2250,13.948,13.953,13.953,2250,13.948,0,395,2000,0,0,35.75,2360,13.948,0.8,-0.8,L,0,0
MC8000009160,28,2200,28600,0,0,29950,1350,0,1,395,2000,2378,93.795,93.795,93.795,0,0,A1,T,M,2,2378,2378,14.747,14.747,14.747,395,2000,2378,2378,2378,14.745,14.747,14.747,2378,14.745,0,395,2000,0,0,27.75,2260,14.745,0.8,-0.8,L,0,0
MC8000009159,185,2200,7600,0,0,7600,0,0,0,395,2000,4005,97.768,97.769,97.769,0,0,A1,C,M,1,4005,4005,24.837,24.837,24.837,395,2000,4005,4005,4005,24.836,24.837,24.837,4005,24.836,0,395,2000,0,0,184.2,2260,24.836,1.8,-1.8,L,0,0
MC8000009158,195,2200,7200,0,0,7200,0,0,0,395,2000,4001,97.746,97.747,97.747,0,0,A1,C,M,1,4001,4001,24.812,24.812,24.812,395,2000,4001,4001,4001,24.806,24.812,24.812,4001,24.806,0,395,2000,0,0,194.2,2260,24.806,1.8,-1.8,L,0,0
MC8000009157,195,2200,7200,0,0,7200,0,0,0,395,2000,4001,97.746,97.747,97.747,0,0,A1,C,M,1,4001,4001,24.812,24.812,24.812,395,2000,4001,4001,4001,24.806,24.812,24.812,4001,24.806,0,395,2000,0,0,194.2,2260,24.806,1.8,-1.8,L,0,0
MC8000009156,169,2200,8300,0,0,8300,0,0,0,395,2000,3999,97.692,97.693,97.693,0,0,A1,C,M,1,3999,3999,24.8,24.8,24.8,395,2000,3999,3999,3999,24.797,24.8,24.8,3999,24.797,0,395,2000,0,0,168.4,2260,24.797,1.6,-1.6,L,0,0
MC8000009155,170,2200,8200,0,0,8200,0,0,0,395,2000,3974,97.69,97.691,97.691,0,0,A1,C,M,1,3974,3974,24.645,24.645,24.645,395,2000,3974,3974,3974,24.643,24.645,24.645,3974,24.643,0,395,2000,0,0,169.4,2260,24.644,1.6,-1.6,L,0,0
MC8000009154,179,2200,6297,0,0,6297,0,0,0,395,2000,3214,97.673,97.672,97.672,0,0,A1,C,M,1,3214,3214,19.932,19.932,19.932,395,2000,3214,3214,3214,19.93,19.932,19.932,3214,19.93,0,395,2000,0,0,178.4,2260,19.93,1.6,-1.6,L,0,0
MC8000009153,179,2200,6297,0,0,6297,0,0,0,395,2000,3214,97.673,97.672,97.672,0,0,A1,C,M,1,3214,3214,19.932,19.932,19.932,395,2000,3214,3214,3214,19.93,19.932,19.932,3214,19.93,0,395,2000,0,0,178.4,2260,19.93,1.6,-1.6,L,0,0
