,roll_thick,roll_width,corect_length,tcrop,hcrop,roll_length,len_crop,,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,,,,d_cut_width_i,
MZ7000000381,300,2200,5000,0,0,5200,200,0,0,972,2168,2525,92.82,73.427,73.427,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1688,1688,1688,27.909,27.923,27.923,1688,27.909,0,972,2168,0,0,299.3,2260,27.611,2,-2,L,0,0
MZ7000000380,300,2200,5000,0,0,5200,200,0,0,972,2168,2525,92.82,73.427,73.427,0,0,A1,J,M,1,2525,2525,35.28,35.28,35.28,972,2168,1688,1688,1688,27.909,27.923,27.923,1688,27.909,0,972,2168,0,0,299.3,2260,27.611,2,-2,L,0,0
MC8000009180,28,2200,27900,0,0,29180,1280,0,0,395,2000,2317,93.914,93.916,93.916,0,0,A1,T,M,3,2317,2317,14.369,14.369,14.369,395,2000,2317,2317,2317,14.365,14.369,14.369,2317,14.365,0,395,2000,0,0,27.75,2260,14.366,0.8,-0.8,L,0,0
MC8000009179,28,2200,27900,0,0,29180,1280,0,0,395,2000,2317,93.914,93.916,93.916,0,0,A1,T,M,3,2317,2317,14.369,14.369,14.369,395,2000,2317,2317,2317,14.365,14.369,14.369,2317,14.365,0,395,2000,0,0,27.75,2260,14.366,0.8,-0.8,L,0,0
MC8000009178,28,2200,27900,0,0,29180,1280,0,0,395,2000,2317,93.914,93.916,93.916,0,0,A1,T,M,3,2317,2317,14.369,14.369,14.369,395,2000,2317,2317,2317,14.365,14.369,14.369,2317,14.365,0,395,2000,0,0,27.75,2260,14.366,0.8,-0.8,L,0,0
MC8000009177,28,2200,27900,0,0,29180,1280,0,0,395,2000,2317,93.914,93.916,93.916,0,0,A1,T,M,3,2317,2317,14.369,14.369,14.369,395,2000,2317,2317,2317,14.365,14.369,14.369,2317,14.365,0,395,2000,0,0,27.75,2260,14.366,0.8,-0.8,L,0,0
MC8000009176,28,2200,27900,0,0,29180,1280,0,0,395,2000,2317,93.914,93.916,93.916,0,0,A1,T,M,3,2317,2317,14.369,14.369,14.369,395,2000,2317,2317,2317,14.365,14.369,14.369,2317,14.365,0,395,2000,0,0,27.75,2260,14.366,0.8,-0.8,L,0,0
MC8000009175,28,2200,27900,0,0,29180,1280,0,0,395,2000,2317,93.914,93.916,93.916,0,0,A1,T,M,3,2317,2317,14.369,14.369,14.369,395,2000,2317,2317,2317,14.365,14.369,14.369,2317,14.365,0,395,2000,0,0,27.75,2260,14.366,0.8,-0.8,L,0,0
MC8000009174,28,2200,27900,0,0,29180,1280,0,0,395,2000,2317,93.914,93.916,93.916,0,0,A1,T,M,3,2317,2317,14.369,14.369,14.369,395,2000,2317,2317,2317,14.365,14.369,14.369,2317,14.365,0,395,2000,0,0,27.75,2260,14.366,0.8,-0.8,L,0,0
MC8000009172,50,2200,22302,0,0,23382,1080,0,0,395,2000,3325,93.409,93.408,93.408,0,0,A1,T,M,2,3325,3325,20.62,20.62,20.62,395,2000,3325,3325,3325,20.617,20.62,20.62,3325,20.617,0,395,2000,0,0,49.7,2260,20.617,0.9,-0.9,L,0,0
MC8000009171,60,2500,11586,0,0,12126,540,0,0,395,2000,2346,93.776,93.779,93.779,0,0,A1,T,M,1,2346,2346,14.549,14.549,14.549,395,2000,2346,2346,2346,14.548,14.549,14.549,2346,14.548,0,395,2000,0,0,59.7,2560,14.548,0.9,-0.9,L,0,0
MC8000009170,150,2200,7477,0,0,7827,350,0,0,395,2000,3348,93.303,93.304,93.304,0,0,A1,C,M,1,3348,3348,20.763,20.763,20.763,395,2000,3348,3348,3348,20.759,20.763,20.763,3348,20.759,0,395,2000,0,0,149.5,2260,20.759,1.4,-1.4,L,0,0
MC8000009169,150,2200,7477,0,0,7827,350,0,0,395,2000,3348,93.303,93.304,93.304,0,0,A1,C,M,1,3348,3348,20.763,20.763,20.763,395,2000,3348,3348,3348,20.759,20.763,20.763,3348,20.759,0,395,2000,0,0,149.5,2260,20.759,1.4,-1.4,L,0,0
MC8000009168,150,2200,7477,0,0,7827,350,0,0,395,2000,3348,93.303,93.304,93.304,0,0,A1,C,M,1,3348,3348,20.763,20.763,20.763,395,2000,3348,3348,3348,20.759,20.763,20.763,3348,20.759,0,395,2000,0,0,149.5,2260,20.759,1.4,-1.4,L,0,0
MC8000009167,150,2200,7477,0,0,7827,350,0,0,395,2000,3348,93.303,93.304,93.304,0,0,A1,C,M,1,3348,3348,20.763,20.763,20.763,395,2000,3348,3348,3348,20.759,20.763,20.763,3348,20.759,0,395,2000,0,0,149.5,2260,20.759,1.4,-1.4,L,0,0
MC8000009166,100,2500,9176,0,0,9646,470,0,0,395,2000,3114,93.271,93.272,93.272,0,0,A1,C,M,1,3114,3114,19.311,19.311,19.311,395,2000,3114,3114,3114,19.307,19.311,19.311,3114,19.307,0,395,2000,0,0,99.6,2560,19.307,1.1,-1.1,L,0,0
MC8000009165,80,2200,9500,0,0,9970,470,0,0,395,2000,2271,93.222,93.224,93.224,0,0,A1,J,M,1,2271,2271,14.084,14.084,14.084,395,2000,2271,2271,2271,14.079,14.084,14.084,2271,14.079,0,395,2000,0,0,79.6,2260,14.079,1.1,-1.1,L,0,0
MC8000009164,80,2200,9500,0,0,9970,470,0,0,395,2000,2271,93.222,93.224,93.224,0,0,A1,J,M,1,2271,2271,14.084,14.084,14.084,395,2000,2271,2271,2271,14.079,14.084,14.084,2271,14.079,0,395,2000,0,0,79.6,2260,14.079,1.1,-1.1,L,0,0
MC8000009163,80,2200,9500,0,0,9970,470,0,0,395,2000,2271,93.222,93.224,93.224,0,0,A1,J,M,1,2271,2271,14.084,14.084,14.084,395,2000,2271,2271,2271,14.079,14.084,14.084,2271,14.079,0,395,2000,0,0,79.6,2260,14.079,1.1,-1.1,L,0,0
MC8000009162,80,2200,9500,0,0,9970,470,0,0,395,2000,2271,93.222,93.224,93.224,0,0,A1,J,M,1,2271,2271,14.084,14.084,14.084,395,2000,2271,2271,2271,14.079,14.084,14.084,2271,14.079,0,395,2000,0,0,79.6,2260,14.079,1.1,-1.1,L,0,0
MC8000009161,36,2300,20100,0,0,21060,960,0,0,395,2000,2250,93.666,93.669,93.669,0,0,A1,J,M,2,2250,2250,13.953,13.953,13.953,395,2000,2250,2250,2250,13.948,13.953,13.953,2250,13.948,0,395,2000,0,0,35.75,2360,13.948,0.8,-0.8,L,0,0
MC8000009160,28,2200,28600,0,0,29950,1350,0,1,395,2000,2378,93.795,93.795,93.795,0,0,A1,T,M,2,2378,2378,14.747,14.747,14.747,395,2000,2378,2378,2378,14.745,14.747,14.747,2378,14.745,0,395,2000,0,0,27.75,2260,14.745,0.8,-0.8,L,0,0
MC8000009152,60,2200,20600,0,0,21560,960,0,0,395,2000,3683,93.478,93.479,93.479,0,0,A1,C,M,2,3683,3683,22.84,22.84,22.84,395,2000,3683,3683,3683,22.835,22.84,22.84,3683,22.835,0,395,2000,0,0,59.7,2260,22.835,0.9,-0.9,L,0,0
MC8000009151,60,2200,20600,0,0,21560,960,0,0,395,2000,3683,93.478,93.479,93.479,0,0,A1,C,M,2,3683,3683,22.84,22.84,22.84,395,2000,3683,3683,3683,22.835,22.84,22.84,3683,22.835,0,395,2000,0,0,59.7,2260,22.835,0.9,-0.9,L,0,0
MC8000009150,60,2200,20600,0,0,21560,960,0,0,395,2000,3683,93.478,93.479,93.479,0,0,A1,C,M,2,3683,3683,22.84,22.84,22.84,395,2000,3683,3683,3683,22.835,22.84,22.84,3683,22.835,0,395,2000,0,0,59.7,2260,22.835,0.9,-0.9,L,0,0
MC8000009149,60,2200,20600,0,0,21560,960,0,0,395,2000,3683,93.478,93.479,93.479,0,0,A1,C,M,2,3683,3683,22.84,22.84,22.84,395,2000,3683,3683,3683,22.835,22.84,22.84,3683,22.835,0,395,2000,0,0,59.7,2260,22.835,0.9,-0.9,L,0,0
MC8000009148,60,2200,20600,0,0,21560,960,0,0,395,2000,3683,93.478,93.479,93.479,0,0,A1,C,M,2,3683,3683,22.84,22.84,22.84,395,2000,3683,3683,3683,22.835,22.84,22.84,3683,22.835,0,395,2000,0,0,59.7,2260,22.835,0.9,-0.9,L,0,0
MC8000009147,60,2200,20600,0,0,21560,960,0,0,395,2000,3683,93.478,93.479,93.479,0,0,A1,C,M,2,3683,3683,22.84,22.84,22.84,395,2000,3683,3683,3683,22.835,22.84,22.84,3683,22.835,0,395,2000,0,0,59.7,2260,22.835,0.9,-0.9,L,0,0
MC8000009146,35,2430,19600,0,0,20520,920,0,1,395,2000,2248,93.886,93.887,93.887,0,0,A1,J,M,2,2248,2248,13.941,13.941,13.941,395,2000,2248,2248,2248,13.938,13.941,13.941,2248,13.938,0,395,2000,0,0,34.75,2490,13.938,0.8,-0.8,L,0,0
MC8000009145,55,2500,12000,0,0,12540,540,0,1,395,2000,2223,93.963,93.964,93.964,0,0,A1,J,M,1,2223,2223,13.786,13.786,13.786,395,2000,2223,2223,2223,13.785,13.786,13.786,2223,13.785,0,395,2000,0,0,54.7,2560,13.785,0.9,-0.9,L,0,0
MC8000009144,50,2600,22600,0,0,23680,1080,0,0,395,2000,3959,93.944,93.943,93.943,0,0,A1,C,M,2,3959,3959,24.552,24.552,24.552,395,2000,3959,3959,3959,24.55,24.552,24.552,3959,24.55,0,395,2000,0,0,49.65,2660,24.55,1.1,-1.1,L,0,0
MC8000009143,60,2200,18174,0,0,19024,850,0,0,395,2000,3250,93.463,93.464,93.464,0,0,A1,C,M,2,3250,3250,20.155,20.155,20.155,395,2000,3250,3250,3250,20.149,20.155,20.155,3250,20.149,0,395,2000,0,0,59.7,2260,20.149,0.9,-0.9,L,0,0
MC8000009142,170,2200,7800,0,0,8150,350,0,0,395,2000,3950,93.495,93.496,93.496,0,0,A1,C,M,1,3950,3950,24.496,24.496,24.496,395,2000,3950,3950,3950,24.493,24.496,24.496,3950,24.493,0,395,2000,0,0,169.4,2260,24.493,1.6,-1.6,L,0,0
MC8000009141,175,2200,7500,0,0,7850,350,0,0,395,2000,3917,93.325,93.326,93.326,0,0,A1,C,M,1,3917,3917,24.291,24.291,24.291,395,2000,3917,3917,3917,24.288,24.291,24.291,3917,24.288,0,395,2000,0,0,174.4,2260,24.288,1.6,-1.6,L,0,0
MC8000009140,175,2200,7500,0,0,7850,350,0,0,395,2000,3917,93.325,93.326,93.326,0,0,A1,C,M,1,3917,3917,24.291,24.291,24.291,395,2000,3917,3917,3917,24.288,24.291,24.291,3917,24.288,0,395,2000,0,0,174.4,2260,24.288,1.6,-1.6,L,0,0
MC8000009139,185,2200,7200,0,0,7550,350,0,0,395,2000,3983,93.135,93.134,93.134,0,0,A1,C,M,1,3983,3983,24.701,24.701,24.701,395,2000,3983,3983,3983,24.7,24.701,24.701,3983,24.7,0,395,2000,0,0,184.4,2260,24.699,1.6,-1.6,L,0,0
MC8000009138,195,2200,6900,0,0,7180,280,0,0,395,2000,3994,93.838,93.838,93.838,0,0,A1,C,M,1,3994,3994,24.769,24.769,24.769,395,2000,3994,3994,3994,24.763,24.769,24.769,3994,24.763,0,395,2000,0,0,194.4,2260,24.763,1.6,-1.6,L,0,0
MC8000009137,210,2200,6300,0,0,6580,280,0,0,395,2000,3942,93.47,93.471,93.471,0,0,A1,C,M,1,3942,3942,24.446,24.446,24.446,395,2000,3942,3942,3942,24.444,24.446,24.446,3942,24.444,0,395,2000,0,0,209.4,2260,24.444,1.8,-1.8,L,0,0
MC8000009136,70,2200,16400,0,0,17200,800,0,0,395,2000,3425,93.351,93.352,93.352,0,0,A1,T,M,2,3425,3425,21.24,21.24,21.24,395,2000,3425,3425,3425,21.238,21.24,21.24,3425,21.238,0,395,2000,0,0,69.6,2260,21.238,1.1,-1.1,L,0,0
MC8000009135,70,2200,16400,0,0,17200,800,0,0,395,2000,3425,93.351,93.352,93.352,0,0,A1,T,M,2,3425,3425,21.24,21.24,21.24,395,2000,3425,3425,3425,21.238,21.24,21.24,3425,21.238,0,395,2000,0,0,69.6,2260,21.238,1.1,-1.1,L,0,0
MC8000009134,70,2200,16400,0,0,17200,800,0,0,395,2000,3425,93.351,93.352,93.352,0,0,A1,T,M,2,3425,3425,21.24,21.24,21.24,395,2000,3425,3425,3425,21.238,21.24,21.24,3425,21.238,0,395,2000,0,0,69.6,2260,21.238,1.1,-1.1,L,0,0
MC8000009133,70,2200,16400,0,0,17200,800,0,0,395,2000,3425,93.351,93.352,93.352,0,0,A1,T,M,2,3425,3425,21.24,21.24,21.24,395,2000,3425,3425,3425,21.238,21.24,21.24,3425,21.238,0,395,2000,0,0,69.6,2260,21.238,1.1,-1.1,L,0,0
MC8000009123,50,2570,21312,0,0,22312,1000,0,0,395,2000,3688,93.997,93.997,93.997,0,0,A1,T,M,2,3688,3688,22.871,22.871,22.871,395,2000,3688,3688,3688,22.871,22.871,22.871,3688,22.871,0,395,2000,0,0,49.65,2630,22.871,1.1,-1.1,L,0,0
